,Open Bid_x,Open Bid_y,Long Swap USDPLN,Short Swap USDPLN,open_1
2005-09-29,3.73,1.98,-5.1679586563307455e-06,3.335633770416377e-06,6.4775
2005-09-30,3.71,1.99,-5.425807973578673e-06,3.5805035805035777e-06,6.5092
2005-10-01,3.76,2.02,-4.901960784313727e-06,3.696003696003696e-06,6.5092
2005-10-02,3.75,2.02,-4.970760233918125e-06,3.436426116838494e-06,6.5092
2005-10-03,3.71,2.05,-5.071950931823542e-06,3.753753753753753e-06,6.5918
2005-10-04,3.71,2.03,-5.130927105449397e-06,3.753753753753753e-06,6.5993
2005-10-05,3.75,2.2,-1.4912280701754376e-05,1.0221760221760229e-05,6.6108
2005-10-06,3.72,2.19,-5.002354048964214e-06,3.630705394190871e-06,6.5398
2005-10-07,3.74,2.12,-4.981247069854662e-06,3.703703703703709e-06,6.49
2005-10-08,3.74,2.18,-5.039849976558831e-06,3.630705394190871e-06,6.49
2005-10-09,3.74,2.18,-5.039849976558831e-06,3.630705394190871e-06,6.49
2005-10-10,3.73,2.06,-5.109231853417896e-06,3.2139577594123062e-06,6.523
2005-10-11,3.75,2.12,-5.087719298245617e-06,3.5805035805035777e-06,6.5327
2005-10-12,3.71,2.08,-1.5038924274593064e-05,1.1261261261261258e-05,6.5304
2005-10-13,3.72,2.05,-5.178907721280595e-06,3.400184416781928e-06,6.5169
2005-10-14,3.72,2.03,-4.94350282485875e-06,3.6883356385431063e-06,6.5048
2005-10-15,3.76,1.92,-4.843604108309992e-06,3.4435261707988986e-06,6.5048
2005-10-16,3.76,1.92,-4.843604108309992e-06,3.4435261707988986e-06,6.5048
2005-10-17,3.71,1.97,-5.543760320830389e-06,3.696003696003696e-06,6.4501
2005-10-18,3.71,1.94,-5.602736494456238e-06,3.753753753753753e-06,6.4993
2005-10-19,3.73,2.0,-1.532769556025369e-05,1.0983263598326372e-05,6.55
2005-10-20,3.75,1.86,-5.029239766081871e-06,3.4722222222222283e-06,6.5161
